Coyuca_de_Ben coyuca_de_ben NP00000 1
� � Fz 1
tez tez NCFS000 1
, , Fc 1
municipio municipio NCMS000 1
colindante colindante AQ0CS0 1
con con SPS00 1
el el DA0MS0 1
puerto puerto NCMS000 1
de de SPS00 0.999984
Acapulco acapulco NP00000 1
, , Fc 1
realizaron realizar VMIS3P0 1
su su DP3CS0 1
primera 1 AO0FS0 0.997382
asamblea asamblea NCFS000 1
� � Fz 1
en en SPS00 1
la el DA0FS0 0.972269
que que PR0CN000 0.562517
participaron participar VMIS3P0 1
aproximadamente aproximadamente RG 1
100 100 Z 1
personas persona NCFP000 0.996689
- - Fg 1
, , Fc 1
para para SPS00 0.999103
la el DA0FS0 0.972269
conformaci conformaci NCMS000 0.0996342
� � Fz 1
n n NCFS000 1
de de SPS00 0.999984
su su DP3CS0 1
movimiento movimiento NCMS000 1
civil civil AQ0CS0 0.98913
, , Fc 1
mismo mismo AQ0MS0 0.968254
que que CS 0.437483
hasta hasta SPS00 0.957698
este este DD0MS0 0.960092
lunes [L:??/??/??:??.??:??] W 1
suma sumar VMIP3S0 0.234043
20 20 Z 1
comunidades comunidad NCFP000 1
, , Fc 1
de de SPS00 0.999984
ambos ambos DI0MP0 0.354651
municipios municipio NCMP000 1
. . Fp 1

El el DA0MS0 1
5_de_enero [??:5/1/??:??.??:??] W 1
, , Fc 1
pobladores poblador NCMP000 0.916667
de de SPS00 0.999984
la el DA0FS0 0.972269
comunidad comunidad NCFS000 1
de de SPS00 0.999984
Ayutla ayutla NP00000 1
, , Fc 1
municipio municipio NCMS000 1
asentado asentar VMP00SM 1
en en SPS00 1
la el DA0FS0 0.972269
regi regi NCMS000 0.0996342
� � Fz 1
n n NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
Costa_Chica costa_chica NP00000 1
de de SPS00 1
el el DA0MS0 1
estado estado NCMS000 0.665746
, , Fc 1
y y CC 0.999962
colindante colindante AQ0CS0 1
con con SPS00 1
el el DA0MS0 1
estado estado NCMS000 0.665746
de de SPS00 0.999984
Oaxaca oaxaca NP00000 1
, , Fc 1
conformaron conformar VMIS3P0 1
el el DA0MS0 1
primer 1 AO0MS0 1
grupo grupo NCMS000 1
civil civil AQ0CS0 0.98913
armado armar VMP00SM 1
de de SPS00 0.999984
autodefensa autodefensa NCFS000 1
. . Fp 1

